meanPow,run
2.158955223880597,1
2.1865671641791047,2
2.091791044776119,3
2.1676470588235297,4
2.132089552238806,5
2.167164179104478,6
2.1216417910447767,7
2.173529411764706,8
2.1360294117647056,9
2.2007575757575752,10
2.1156716417910446,11
2.0999999999999996,12
2.1485074626865672,13
2.1151515151515152,14
2.106716417910448,15
2.132089552238806,16
2.1573529411764705,17
2.135820895522388,18
2.0970149253731343,19
2.123484848484848,20
2.120149253731344,21
2.149264705882353,22
2.1104477611940298,23
2.15,24
2.1350746268656717,25
2.1265151515151515,26
2.0931818181818183,27
2.119852941176471,28
2.135820895522388,29
2.147761194029851,30
2.1298507462686564,31
