area,run
144.70000000000002,1
147.52499999999998,2
143.95000000000002,3
148.57500000000002,4
150.425,5
145.5,6
146.70000000000005,7
142.35000000000002,8
148.09999999999997,9
143.60000000000002,10
150.10000000000002,11
144.25,12
145.87500000000003,13
143.075,14
146.97500000000002,15
144.19999999999996,16
148.32500000000005,17
142.05,18
147.37500000000003,19
143.64999999999998,20
143.7,21
146.95000000000005,22
144.00000000000003,23
146.15000000000003,24
142.85000000000002,25
147.45000000000005,26
150.80000000000004,27
142.65000000000003,28
144.00000000000003,29
148.57500000000002,30
143.125,31
